================ Training Loss (Mon Apr 25 21:57:22 2022) ================
(epoch: 62, iters: 80, time: 0.100, data: 0.471) G_GAN: 0.492 D_real: 0.125 D_fake: 0.321 G: 2.003 NCE: 1.552 NCE_Y: 1.470 
(epoch: 64, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.293 D_real: 0.216 D_fake: 0.219 G: 1.923 NCE: 1.667 NCE_Y: 1.593 
(epoch: 65, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.321 D_real: 0.206 D_fake: 0.169 G: 1.975 NCE: 1.731 NCE_Y: 1.576 
(epoch: 67, iters: 80, time: 0.100, data: 0.444) G_GAN: 0.349 D_real: 0.294 D_fake: 0.171 G: 1.722 NCE: 1.349 NCE_Y: 1.399 
(epoch: 69, iters: 40, time: 0.100, data: 0.003) G_GAN: 0.383 D_real: 0.276 D_fake: 0.178 G: 1.787 NCE: 1.445 NCE_Y: 1.362 
(epoch: 70, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.507 D_real: 0.170 D_fake: 0.291 G: 1.828 NCE: 1.321 NCE_Y: 1.322 
(epoch: 72, iters: 80, time: 0.100, data: 0.440) G_GAN: 0.346 D_real: 0.209 D_fake: 0.220 G: 1.724 NCE: 1.397 NCE_Y: 1.360 
(epoch: 74, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.287 D_real: 0.286 D_fake: 0.170 G: 1.530 NCE: 1.198 NCE_Y: 1.288 
(epoch: 75, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.380 D_real: 0.192 D_fake: 0.208 G: 1.780 NCE: 1.359 NCE_Y: 1.441 
(epoch: 77, iters: 80, time: 0.100, data: 0.460) G_GAN: 0.288 D_real: 0.411 D_fake: 0.092 G: 1.650 NCE: 1.390 NCE_Y: 1.335 
(epoch: 79, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.404 D_real: 0.184 D_fake: 0.292 G: 1.665 NCE: 1.267 NCE_Y: 1.255 
(epoch: 80, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.351 D_real: 0.155 D_fake: 0.276 G: 1.608 NCE: 1.221 NCE_Y: 1.292 
(epoch: 82, iters: 80, time: 0.100, data: 0.453) G_GAN: 0.239 D_real: 0.318 D_fake: 0.119 G: 1.494 NCE: 1.195 NCE_Y: 1.316 
(epoch: 84, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.303 D_real: 0.230 D_fake: 0.231 G: 1.512 NCE: 1.230 NCE_Y: 1.189 
(epoch: 85, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.287 D_real: 0.302 D_fake: 0.139 G: 1.531 NCE: 1.220 NCE_Y: 1.268 
(epoch: 87, iters: 80, time: 0.100, data: 0.473) G_GAN: 0.330 D_real: 0.341 D_fake: 0.167 G: 1.517 NCE: 1.238 NCE_Y: 1.136 
(epoch: 89, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.323 D_real: 0.262 D_fake: 0.180 G: 1.612 NCE: 1.342 NCE_Y: 1.236 
(epoch: 90, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.382 D_real: 0.182 D_fake: 0.249 G: 1.630 NCE: 1.250 NCE_Y: 1.247 
(epoch: 92, iters: 80, time: 0.100, data: 0.433) G_GAN: 0.343 D_real: 0.164 D_fake: 0.291 G: 1.680 NCE: 1.305 NCE_Y: 1.370 
